2018-03-23 11:03:09  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:10  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:11  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:12  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:13  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:14  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:15  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:16  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:17  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:18  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:19  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:03:20  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:16  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:17  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:18  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:19  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:20  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:21  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:22  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:23  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:24  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:25  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:26  User[1]=27, TTY=sxy799, FROM
2018-03-23 11:04:27  User[1]=27, TTY=sxy799, FROM
